name,reviews_username,reviews_rating,user_sentiment
K-Y Love Sensuality Pleasure Gel,rebecca,1,Negative
K-Y Love Sensuality Pleasure Gel,samantha,1,Negative
K-Y Love Sensuality Pleasure Gel,kimmie,1,Negative
K-Y Love Sensuality Pleasure Gel,cassie,1,Negative
K-Y Love Sensuality Pleasure Gel,nicole,1,Positive
K-Y Love Sensuality Pleasure Gel,karen,5,Positive
K-Y Love Sensuality Pleasure Gel,amanda,5,Positive
"Johnson's Baby Bubble Bath and Wash, 15oz",solo,4,Positive
"Johnson's Baby Bubble Bath and Wash, 15oz",solo,4,Positive
"Johnson's Baby Bubble Bath and Wash, 15oz",momof2,4,Positive
Olay Regenerist Deep Hydration Regenerating Cream,mylifeinheels,3,Positive
Olay Regenerist Deep Hydration Regenerating Cream,mylifeinheels,3,Positive
Olay Regenerist Deep Hydration Regenerating Cream,mylifeinheels,3,Positive
Olay Regenerist Deep Hydration Regenerating Cream,jayjay,4,Positive
Olay Regenerist Deep Hydration Regenerating Cream,cindy95,5,Positive
Olay Regenerist Deep Hydration Regenerating Cream,toni,5,Positive
Olay Regenerist Deep Hydration Regenerating Cream,cindy95,5,Positive
Olay Regenerist Deep Hydration Regenerating Cream,jamo,5,Positive
Olay Regenerist Deep Hydration Regenerating Cream,rebecca,5,Positive
Olay Regenerist Deep Hydration Regenerating Cream,christa,5,Positive
Olay Regenerist Deep Hydration Regenerating Cream,cindy95,5,Positive
Olay Regenerist Deep Hydration Regenerating Cream,petals66,5,Positive
Olay Regenerist Deep Hydration Regenerating Cream,judy,5,Positive
Olay Regenerist Deep Hydration Regenerating Cream,ajay,5,Positive
Olay Regenerist Deep Hydration Regenerating Cream,pooky,5,Positive
Olay Regenerist Deep Hydration Regenerating Cream,jennifer,5,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),mountainman,1,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),rick,1,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),george,1,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),laura,1,Negative
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),jill,1,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),mj,1,Negative
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),rosie,1,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),doug,1,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),disappointed,1,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),suri,2,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),fred,2,Negative
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),suri,2,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),laura,2,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),jewels,4,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),shell,4,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),betty,4,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),paula,4,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),cj,5,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),deb,5,Negative
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),brandon,5,Negative
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),sandra,5,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),cj,5,Negative
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),matt,5,Negative
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),cj,5,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),marmar,5,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),momof2,5,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),marty,5,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),sue,5,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),chris,5,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),linda,5,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),suri,5,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),sandi,5,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),jody,5,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),sandy,5,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),nick,5,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),kim,5,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),bob,5,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),bill,5,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),tony,5,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),sue,5,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),lisa,5,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),megan,5,Positive
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),bob,5,Negative
Windex Original Glass Cleaner Refill 67.6oz (2 Liter),dee,5,Positive
"Aussie Aussome Volume Shampoo, 13.5 Oz",danielle,1,Positive
